Seq	PropersID	Year	Reference	Brief Description of Reading
1	Easter Vigil (1st Reading)	ABC	Gen 1:1—2:2 or 1:1, 26-31a	First Story of Creation
2	1st Sunday of Lent	A	Gen 2:7-9; 3:1-7	Second Story of Creation
3	27th Sunday in Ordinary Time	B	Gen 2:18-24	Creation of Woman as a Partner for Man
4	10th Sunday in Ordinary Time	B	Gen 3:9-15	Fall of Adam and Eve, and the Curse of the Serpent
5	Dec 8: Immaculate Conception of the BVMary		Gen 3:9-15, 20	Fall of Adam and Eve, and the Curse of the Serpent
6	1st Sunday of Lent	B	Gen 9:8-15	God’s Covenant with Noah
7	Pentecost Sunday: Vigil Mass (Option 1)	ABC	Gen 11:1-9	Tower of Babel
8	2nd Sunday of Lent	A	Gen 12:1-4a	Call of Abram
9	Sunday after Trinity Sun: Body & Blood of Christ	C	Gen 14:18-20	Melchizedek Offers Bread and Wine, and Blesses Abram
10	Sunday in Octave of Christmas: Holy Family (Opt. B)	B	Gen 15:1-6; 21:1-3	God’s Covenant with Abraham; Birth of Isaac
11	2nd Sunday of Lent	C	Gen 15:5-12, 17-18	God’s Covenant with Abram
12	16th Sunday in Ordinary Time	C	Gen 18:1-10a	Abraham’s Three Visitors at Mamre
13	17th Sunday in Ordinary Time	C	Gen 18:20-32	Abraham Intercedes for Sodom
14	2nd Sunday of Lent	B	Gen 22:1-2, 9a, 10-13, 15-18	Testing of Abraham (Sacrifice of Isaac)
15	Easter Vigil (2nd Reading)	ABC	Gen 22:1-18 or 22:1-2, 9a, 10-13, 15-18	Testing of Abraham
16	3rd Sunday of Lent	C	Exod 3:1-8a, 13-15	Burning Bush and the Call of Moses
17	Holy Thursday: Mass of the Lord’s Supper	ABC	Exod 12:1-8, 11-14	Prescriptions for the Passover Ritual
18	Easter Vigil (3rd Reading)	ABC	Exod 14:15—15:1	Exodus
19	Easter Vigil (3rd Response)	ABC	Exod 15:1-2, 3-4, 5-6, 17-18	Israelites' Song of Victory over Pharaoh's Army
20	18th Sunday in Ordinary Time	B	Exod 16:2-4, 12-15	Manna and Quail in the Desert
21	3rd Sunday of Lent	A	Exod 17:3-7	Moses Strikes Water from the Rock in Horeb
22	29th Sunday in Ordinary Time	C	Exod 17:8-13	Moses Prays as Joshua Battles Amalek
23	11th Sunday in Ordinary Time	A	Exod 19:2-6a	Israelites Arrive at Mount Sinai; God Speaks to Moses
24	Pentecost Sunday: Vigil Mass (Option 2)	ABC	Exod 19:3-8a, 16-20b	Arrival and Theophany at Sinai
25	3rd Sunday of Lent	B	Exod 20:1-17 or 20:1-3, 7-8, 12-17	Ten Commandments
26	30th Sunday in Ordinary Time	A	Exod 22:20-26	Laws to Protect Aliens, Widows, Orphans, and the Poor
27	Sunday after Trinity Sun: Body & Blood of Christ	B	Exod 24:3-8	Ratification of the Covenant with Blood
28	24th Sunday in Ordinary Time	C	Exod 32:7-11, 13-14	Golden Calf and Moses’ Prayer for the People
29	Sunday after Pentecost: Holy Trinity	A	Exod 34:4b-6, 8-9	Moses Encounters the Lord Again on Mount Sinai
30	6th Sunday in Ordinary Time	B	Lev 13:1-2, 44-46	Regulations Concerning Leprosy
31	7th Sunday in Ordinary Time	A	Lev 19:1-2, 17-18	Be Holy as God Is Holy; Love Your Neighbor as Yourself
32	Jan. 1: Mary, Mother of God	ABC	Num 6:22-27	Priestly Blessing of Aaron
33	26th Sunday in Ordinary Time	B	Num 11:25-29	God’s Spirit Comes upon 70 Elders
34	Sept 14: Exaltation of the Holy Cross		Num 21:4b-9	Moses Lifts Up a Bronze Serpent
35	22nd Sunday in Ordinary Time	B	Deut 4:1-2, 6-8	Moses Calls the People to Keep God’s Commands
36	Sunday after Pentecost: Holy Trinity	B	Deut 4:32-34, 39-40	Proofs of God’s Care for the People
37	9th Sunday in Ordinary Time	B	Deut 5:12-15	Keep Holy the Sabbath Day
38	31st Sunday in Ordinary Time	B	Deut 6:2-6	“Hear, O Israel.” (Great Commandment)
39	Friday after 2nd Sun after Pentecost: Sacred Heart	A	Deut 7:6-11	God’s Love for His Chosen Nation
40	Sunday after Trinity Sun: Body & Blood of Christ	A	Deut 8:2-3, 14b-16a	God Fed You with Manna for 40 Years
41	9th Sunday in Ordinary Time	A	Deut 11:18, 26-28, 32	Blessings/Curses for Obeying/Rejecting God’s Commandments
42	4th Sunday in Ordinary Time	B	Deut 18:15-20	God Will Raise Up a Prophet Like Moses
43	1st Sunday of Lent	C	Deut 26:4-10	Thank Offerings for the Harvest
44	15th Sunday in Ordinary Time	C	Deut 30:10-14	God’s Commands Are Not Remote, but Near
45	4th Sunday of Lent	C	Josh 5:9a, 10-12	Passover at Gilgal and the Cessation of Manna
46	21st Sunday in Ordinary Time	B	Josh 24:1-2a, 15-17, 18b	Joshua Calls the People to Serve the Lord
47	Sunday in Octave of Christmas: Holy Family (Opt. C)	C	1 Sam 1:20-22, 24-28	Hannah Offers Her Son, Samuel, to God
48	2nd Sunday in Ordinary Time	B	1 Sam 3:3b-10, 19	God’s Revelation to Young Samuel
49	4th Sunday of Lent	A	1 Sam 16:1b, 6-7, 10-13a	Samuel Anoints David in Bethlehem
50	7th Sunday in Ordinary Time	C	1 Sam 26:2, 7-9, 12-13, 22-23	David Spares the Life of Saul
51	34th Sunday in Ord. Time: Christ the King	C	2 Sam 5:1-3	David Is Anointed as King of All Israel
52	4th Sunday of Advent	B	2 Sam 7:1-5, 8b-12, 14a, 16	God’s Promises to the House of David
53	March 19: St. Joseph, Husband of the BVMary		2 Sam 7:4-5a, 12-14a, 16	Lord’s Promises to David
54	11th Sunday in Ordinary Time	C	2 Sam 12:7-10, 13	David’s Punishment for the Murder of Uriah
55	17th Sunday in Ordinary Time	A	1 Kgs 3:5, 7-12	Solomon Asks for Wisdom and Understanding
56	9th Sunday in Ordinary Time	C	1 Kgs 8:41-43	Solomon Prays in the Temple for Foreigners
57	32nd Sunday in Ordinary Time	B	1 Kgs 17:10-16	Elijah Feeds the Widow of Zarephath
58	10th Sunday in Ordinary Time	C	1 Kgs 17:17-24	Elijah Restores a Widow’s Son to Life in Zarephath
59	19th Sunday in Ordinary Time	B	1 Kgs 19:4-8	Elijah’s Flight to Mount Horeb
60	19th Sunday in Ordinary Time	A	1 Kgs 19:9a, 11-13a	Elijah Encounters God from a Cave on Mount Horeb
61	13th Sunday in Ordinary Time	C	1 Kgs 19:16b, 19-21	Elisha Becomes the Follower of Elijah
62	13th Sunday in Ordinary Time	A	2 Kgs 4:8-11, 14-16a	Elisha Promises a Son to the Shunammite Woman
63	17th Sunday in Ordinary Time	B	2 Kgs 4:42-44	Elisha Feeds 100 People with 20 Barley Loaves
64	28th Sunday in Ordinary Time	C	2 Kgs 5:14-17	Elisha Cures Naaman, the Syrian Leper
65	Aug 15: Assumption of the BVMary, Vigil		1 Chr 15:3-4, 15-16; 16:1-2	Ark Is Brought into Jerusalem
66	4th Sunday of Lent	B	2 Chr 36:14-16, 19-23	Babylonian Exile and the Decree of Cyrus
67	3rd Sunday in Ordinary Time	C	Neh 8:2-4a, 5-6, 8-10	Ezra Reads God’s Law to the People
68	32nd Sunday in Ordinary Time	C	2 Macc 7:1-2, 9-14	Martyrdom of Seven Brothers and Their Mother
69	5th Sunday in Ordinary Time	B	Job 7:1-4, 6-7	Job’s First Reply to His Friends
70	12th Sunday in Ordinary Time	B	Job 38:1, 8-11	Lord Questions Job
71	Sunday after Pentecost: Holy Trinity	C	Prov 8:22-31	Divine Wisdom Present at the Creation
72	20th Sunday in Ordinary Time	B	Prov 9:1-6	Wisdom’s Invitation to Her Banquet
73	33rd Sunday in Ordinary Time	A	Prov 31:10-13, 19-20, 30-31	In Praise of the Good Wife
74	18th Sunday in Ordinary Time	C	Eccl 1:2, 2:21-23	Vanity of Toil without Profit
75	13th Sunday in Ordinary Time	B	Wis 1:13-15, 2:23-24	God Did Not Create Death; the Devil Did
76	25th Sunday in Ordinary Time	B	Wis 2:12, 17-20	Wicked Persons Plot against the Just One
77	Nov 2: Commemoration of All Souls (Option 1)	668.1	Wis 3:1-9	Souls of the Just in the Hands of God
78	Nov 2: Commemoration of All Souls (Option 2)	668.2	Wis 4:7-15	Just Person Shall Be at Rest
79	32nd Sunday in Ordinary Time	A	Wis 6:12-16	An Exhortation to Seek Wisdom
80	28th Sunday in Ordinary Time	B	Wis 7:7-11	Solomon Prayed for Prudence and Wisdom
81	23rd Sunday in Ordinary Time	C	Wis 9:13-18b	Who Can Know God’s Counsel?
82	31st Sunday in Ordinary Time	C	Wis 11:22—12:2	God’s Mercy on All Things
83	16th Sunday in Ordinary Time	A	Wis 12:13, 16-19	God’s Power and Mercy
84	19th Sunday in Ordinary Time	C	Wis 18:6-9	Recounting the Night of the First Passover
85	Sunday in Octave of Christmas: Holy Family	ABC	Sir 3:3-7, 14-17a	Duties toward One’s Parents
86	22nd Sunday in Ordinary Time	C	Sir 3:17-18, 20, 28-29	Be Humble, to Find Favor with God
87	6th Sunday in Ordinary Time	A	Sir 15:16-21	If You Choose, You Can Keep God’s Commandments
88	2nd Sunday after Christmas	ABC	Sir 24:1-4, 12-16	In Praise of Divine Wisdom
89	8th Sunday in Ordinary Time	C	Sir 27:5-8 (alt. ref. 27:4-7)	Test People by Their Speech
90	24th Sunday in Ordinary Time	A	Sir 27:30—28:7	Put Aside Anger and Vengeance
91	30th Sunday in Ordinary Time	C	Sir 35:12-14, 16-18	Lord Hears the Cry of the Oppressed
92	1st Sunday of Advent	A	Isa 2:1-5	Mount Zion, the Messianic Capital
93	27th Sunday in Ordinary Time	A	Isa 5:1-7	Song of the Vineyard
94	5th Sunday in Ordinary Time	C	Isa 6:1-2a, 3-8	Call of the Prophet Isaiah
95	4th Sunday of Advent	A	Isa 7:10-14	Sign from the Lord: Birth of Emmanuel
96	March 25: Annunciation of the Lord		Isa 7:10-14; 8:10c	Sign from the Lord: Birth of Emmanuel
97	3rd Sunday in Ordinary Time	A	Isa 8:23b—9:3	Darkness Is Dispelled; Light for the Gentiles
98	Dec. 25: Christmas: Mass at Midnight	ABC	Isa 9:1-6	A Child is Born: Prince of Peace
99	2nd Sunday of Advent	A	Isa 11:1-10	Rule of Emmanuel, the Root of Jesse
100	3rd Sunday of Advent (Response)	C	Isa 12:2-3, 4bcd, 5-6	Cry Out with Joy and Gladness: God Is My Salvation
101	Sun after Epiphany: Baptism of the Lord (Opt. B; Response)	B	Isa 12:2-3, 4bcd, 5-6	Cry Out with Joy and Gladness: God Is My Salvation
102	Easter Vigil (5th Response)	ABC	Isa 12:2-3, 4bcd, 5-6	Cry Out with Joy and Gladness: God Is My Salvation
103	Sacred Heart Friday (Response)	B	Isa 12:2-3, 4bcd, 5-6	Cry Out with Joy and Gladness: God Is My Salvation
104	21st Sunday in Ordinary Time	A	Isa 22:19-23	Eliakim Replaces Shebna as Master of the Palace
105	Nov 2: Commemoration of All Souls (Option 3)		Isa 25:6-9	Lord Will Destroy Death Forever
106	28th Sunday in Ordinary Time	A	Isa 25:6-10a	God Provides a Feast for All Peoples; Destroys Death Forever
107	3rd Sunday of Advent	A	Isa 35:1-6a, 10	Rejoicing at the Coming of God
108	23rd Sunday in Ordinary Time	B	Isa 35:4-7a	God Vindicates and Renews Israel
109	2nd Sunday of Advent	B	Isa 40:1-5, 9-11	Promise of Salvation for God’s People
110	Sunday after Epiphany: Baptism of the Lord (Opt. C)	C	Isa 40:1-5, 9-11	Promise of Salvation for God’s People
111	Sunday after Epiphany: Baptism of the Lord	ABC	Isa 42:1-4, 6-7	Servant of the Lord Brings Justice
112	5th Sunday of Lent	C	Isa 43:16-21	Promises of Restoration: Water in the Desert
113	7th Sunday in Ordinary Time	B	Isa 43:18-19, 21-22, 24b-25	Promises of Restoration and Forgiveness
114	29th Sunday in Ordinary Time	A	Isa 45:1, 4-6	Cyrus, the Lord’s Anointed One, Liberator of Israel
115	June 24: Nativity of St. John the Baptist, Day		Isa 49:1-6	Servant of the Lord as Light to the Nations
116	2nd Sunday in Ordinary Time	A	Isa 49:3, 5-6	Servant of the Lord as Light to the Nations
117	8th Sunday in Ordinary Time	A	Isa 49:14-15	The Lord Cannot Forget Zion
118	Palm Sunday Mass	ABC	Isa 50:4-7	Despite Opposition, the Lord’s Servant Proclaims Salvation
119	24th Sunday in Ordinary Time	B	Isa 50:5-9a	Despite Opposition, the Lord’s Servant Proclaims Salvation
120	Dec. 25: Christmas: Mass during the Day	ABC	Isa 52:7-10	Rejoicing at the Lord’s Salvation
121	Good Friday of the Lord’s Passion	ABC	Isa 52:13—53:12	Suffering and Triumph of the Servant of the Lord
122	29th Sunday in Ordinary Time	B	Isa 53:10-11	By Suffering, God’s Servant Justifies Many
123	Easter Vigil (4th Reading)	ABC	Isa 54:5-14	God Redeems Israel
124	18th Sunday in Ordinary Time	A	Isa 55:1-3	All Who Are Thirsty, Come to the Water
125	Sunday after Epiphany: Baptism of the Lord (Opt. B)	B	Isa 55:1-11	Come to the Water; Seek the Lord
126	Easter Vigil (5th Reading)	ABC	Isa 55:1-11	Come to the Water; Seek the Lord
127	25th Sunday in Ordinary Time	A	Isa 55:6-9	Seek the Lord While He May Be Found
128	15th Sunday in Ordinary Time	A	Isa 55:10-11	God’s Word Shall Be Fruitful
129	20th Sunday in Ordinary Time	A	Isa 56:1, 6-7	Lord’s House of Prayer for All Peoples
130	5th Sunday in Ordinary Time	A	Isa 58:7-10	Act Justly and Your Light Shall Shine
131	The Epiphany of the Lord	ABC	Isa 60:1-6	God’s Glory Shining in the New Jerusalem
132	3rd Sunday of Advent	B	Isa 61:1-2a, 10-11	Lord’s Anointed Brings Justice and Rejoicing
133	Thursday of Holy Week: Chrism Mass	ABC	Isa 61:1-3ab, 6a, 8b-9	Lord’s Anointed Brings Justice
134	Dec. 25: Christmas: Vigil Mass	ABC	Isa 62:1-5	Jerusalem’s Vindication as the Lord’s Bride
135	2nd Sunday in Ordinary Time	C	Isa 62:1-5	Jerusalem’s Vindication as the Lord’s Bride
136	Dec. 25: Christmas: Mass at Dawn	ABC	Isa 62:11-12	Savior of Zion Comes
137	1st Sunday of Advent	B	Isa 63:16b-17, 19b; 64:2-7	Prayer for Return of God’s Favor
138	14th Sunday in Ordinary Time	C	Isa 66:10-14c	God Comforts Jerusalem, as a Mother Comforts Her Child
139	21st Sunday in Ordinary Time	C	Isa 66:18-21	Gathering of All Nations in Jerusalem
140	4th Sunday in Ordinary Time	C	Jer 1:4-5, 17-19	Call of the Prophet Jeremiah
141	June 24: Nativity of St. John the Baptist, Vigil		Jer 1:4-10	Call of the Prophet Jeremiah
142	6th Sunday in Ordinary Time	C	Jer 17:5-8	Trusting in Human Beings vs. Trusting in the Lord
143	22nd Sunday in Ordinary Time	A	Jer 20:7-9	Jeremiah’s Interior Crisis and Anguish
144	12th Sunday in Ordinary Time	A	Jer 20:10-13	Jeremiah’s Interior Crisis and God’s Protection
145	16th Sunday in Ordinary Time	B	Jer 23:1-6	Bad Shepherds vs. Good Shepherds
146	30th Sunday in Ordinary Time	B	Jer 31:7-9	Lord Will Restore the Remnant of Israel
147	5th Sunday of Lent	B	Jer 31:31-34	New Covenant Written upon Hearts
148	1st Sunday of Advent	C	Jer 33:14-16	Restoration of Jerusalem through David’s Son
149	20th Sunday in Ordinary Time	C	Jer 38:4-6, 8-10	Jeremiah Imprisoned in a Cistern
150	Easter Vigil (6th Reading)	ABC	Bar 3:9-15, 32—4:4	In Praise of Divine Wisdom
151	2nd Sunday of Advent	C	Bar 5:1-9	Jerusalem Consoled: Return of Exiles
152	14th Sunday in Ordinary Time	B	Ezek 2:2-5	God Sends the Prophet to a Rebellious Israel
153	11th Sunday in Ordinary Time	B	Ezek 17:22-24	God Plants a Cedar on the Mountains of Israel
154	26th Sunday in Ordinary Time	A	Ezek 18:25-28	Iniquity Leads to Death; Justice Leads to Life
155	23rd Sunday in Ordinary Time	A	Ezek 33:7-9	Prophet as Sentinel for Israel
156	34th Sunday in Ord. Time: Christ the King	A	Ezek 34:11-12, 15-17	God Himself Will Shepherd the People
157	Friday after 2nd Sun after Pentecost: Sacred Heart	C	Ezek 34:11-16	God Himself Will Shepherd the People
158	Easter Vigil (7th Reading)	ABC	Ezek 36:16-17a, 18-28	New Heart and New Spirit
159	Pentecost Sunday: Vigil Mass (Option 3)	ABC	Ezek 37:1-14	Vision of the Dry Bones
160	5th Sunday of Lent	A	Ezek 37:12-14	Vision of the Dry Bones (Conclusion)
161	Nov 9: Dedication of the Lateran Basilica in Rome		Ezek 47:1-2, 8-9, 12	Water Flowing from the Temple
162	Sunday after Pentecost: Holy Trinity (Response)	A	Dan 3:52, 53, 54, 55	Three Young Men in Furnace Praise God
163	Aug 6: Transfiguration of the Lord		Dan 7:9-10, 13-14	Vision of the Ancient One and the Son of Man
164	34th Sunday in Ord. Time: Christ the King	B	Dan 7:13-14	Vision of the Coming Son of Man
165	33rd Sunday in Ordinary Time	B	Dan 12:1-3	Michael, Defender of God’s People
166	8th Sunday in Ordinary Time	B	Hos 2:16b, 17b, 21-22	Lord Will Espouse Israel Forever
167	10th Sunday in Ordinary Time	A	Hos 6:3-6	Insincere Conversion vs. True Love and Knowledge of God
168	Friday after 2nd Sun after Pentecost: Sacred Heart	B	Hos 11:1, 3-4, 8c-9	God’s Love for Israel, His Child
169	Pentecost Sunday: Vigil Mass (Option 4)	ABC	Joel 3:1-5	God’s Spirit Poured Out on All People
170	26th Sunday in Ordinary Time	C	Amos 6:1a, 4-7	Woes against the Rich and Complacent
171	15th Sunday in Ordinary Time	B	Amos 7:12-15	Amaziah Challenges Prophet Amos
172	25th Sunday in Ordinary Time	C	Amos 8:4-7	Warning against Greed and Injustice
173	3rd Sunday in Ordinary Time	B	Jon 3:1-5, 10	Jonah Preaches in Nineveh
174	4th Sunday of Advent	C	Mic 5:1-4a	Israel’s Ruler from Clan of Bethlehem
175	27th Sunday in Ordinary Time	C	Hab 1:2-3; 2:2-4	Prophet’s Complaint and God’s Answer
176	4th Sunday in Ordinary Time	A	Zeph 2:3; 3:12-13	Lord’s Remnant on Day of Judgment
177	3rd Sunday of Advent	C	Zeph 3:14-18a	Rejoicing at the Lord’s Presence
178	14th Sunday in Ordinary Time	A	Zech 9:9-10	Rejoice, Jerusalem, Your King Shall Proclaim Peace
179	12th Sunday in Ordinary Time	C	Zech 12:10-11; 13:1	Jerusalem Shall Mourn for the One Whom They Have Pierced
180	31st Sunday in Ordinary Time	A	Mal 1:14b—2:2b, 8-10	Curses upon Wicked Priests and Levites
181	Feb 2: Presentation of the Lord		Mal 3:1-4	Messenger of the Covenant Prepares God’s Way
182	33rd Sunday in Ordinary Time	C	Mal 3:19-20a	Evildoers Will Perish; Godfearers Will Be Rewarded
183	Dec. 25: Christmas: Vigil Mass	ABC	Matt 1:1-25 or 1:18-25	
184	March 19: St. Joseph, husband of the BVMary (Option 1)		Matt 1:16, 18-21, 24a	
185	4th Sunday of Advent	A	Matt 1:18-24	
186	The Epiphany of the Lord	ABC	Matt 2:1-12	
187	Sunday in Octave of Christmas: Holy Family	A	Matt 2:13-15, 19-23	
188	2nd Sunday of Advent	A	Matt 3:1-12	
189	Sunday after Epiphany: Baptism of the Lord	A	Matt 3:13-17	
190	1st Sunday of Lent	A	Matt 4:1-11	
191	3rd Sunday in Ordinary Time	A	Matt 4:12-23 or 4:12-17	
192	4th Sunday in Ordinary Time	A	Matt 5:1-12a	
193	Nov 1: All Saints		Matt 5:1-12a	
194	5th Sunday in Ordinary Time	A	Matt 5:13-16	
195	6th Sunday in Ordinary Time	A	Matt 5:17-37 or 5:20-22a, 27-28, 33-34a, 37	
196	7th Sunday in Ordinary Time	A	Matt 5:38-48	
197	8th Sunday in Ordinary Time	A	Matt 6:24-34	
198	9th Sunday in Ordinary Time	A	Matt 7:21-27	
199	10th Sunday in Ordinary Time	A	Matt 9:9-13	
200	11th Sunday in Ordinary Time	A	Matt 9:36—10:8	
201	12th Sunday in Ordinary Time	A	Matt 10:26-33	
202	13th Sunday in Ordinary Time	A	Matt 10:37-42	
203	3rd Sunday of Advent	A	Matt 11:2-11	
204	14th Sunday in Ordinary Time	A	Matt 11:25-30	
205	Friday after 2nd Sun after Pentecost: Sacred Heart	A	Matt 11:25-30	
206	15th Sunday in Ordinary Time	A	Matt 13:1-23 or 13:1-9	
207	16th Sunday in Ordinary Time	A	Matt 13:24-43 or 13:24-30	
208	17th Sunday in Ordinary Time	A	Matt 13:44-52 or 13:44-46	
209	18th Sunday in Ordinary Time	A	Matt 14:13-21	
210	19th Sunday in Ordinary Time	A	Matt 14:22-33	
211	20th Sunday in Ordinary Time	A	Matt 15:21-28	
212	June 29: Sts. Peter and Paul, Apostles, Day		Matt 16:13-19	
213	21st Sunday in Ordinary Time	A	Matt 16:13-20	
214	22nd Sunday in Ordinary Time	A	Matt 16:21-27	
215	2nd Sunday of Lent	A	Matt 17:1-9	
216	Aug 6: Transfiguration of the Lord (Year A)		Matt 17:1-9	
217	23rd Sunday in Ordinary Time	A	Matt 18:15-20	
218	24th Sunday in Ordinary Time	A	Matt 18:21-35	
219	25th Sunday in Ordinary Time	A	Matt 20:1-16a	
220	Palm Sunday: Procession of Palms	A	Matt 21:1-11	
221	26th Sunday in Ordinary Time	A	Matt 21:28-32	
222	27th Sunday in Ordinary Time	A	Matt 21:33-43	
223	28th Sunday in Ordinary Time	A	Matt 22:1-14 or 22:1-10	
224	29th Sunday in Ordinary Time	A	Matt 22:15-21	
225	30th Sunday in Ordinary Time	A	Matt 22:34-40	
226	31st Sunday in Ordinary Time	A	Matt 23:1-12	
227	1st Sunday of Advent	A	Matt 24:37-44	
228	32nd Sunday in Ordinary Time	A	Matt 25:1-13	
229	33rd Sunday in Ordinary Time	A	Matt 25:14-30 or 25:14-15, 19-21	
230	34th Sunday in Ord. Time: Christ the King	A	Matt 25:31-46	
231	Palm Sunday Mass	A	Matt 26:14—27:66 or 27:11-54	
232	Easter Vigil	A	Matt 28:1-10	
233	Ascension of the Lord	A	Matt 28:16-20	
234	Sunday after Pentecost: Holy Trinity	B	Matt 28:16-20	
235	2nd Sunday of Advent	B	Mark 1:1-8	
236	Sunday after Epiphany: Baptism of the Lord	B	Mark 1:7-11	
237	1st Sunday of Lent	B	Mark 1:12-15	
238	3rd Sunday in Ordinary Time	B	Mark 1:14-20	
239	4th Sunday in Ordinary Time	B	Mark 1:21-28	
240	5th Sunday in Ordinary Time	B	Mark 1:29-39	
241	6th Sunday in Ordinary Time	B	Mark 1:40-45	
242	7th Sunday in Ordinary Time	B	Mark 2:1-12	
243	8th Sunday in Ordinary Time	B	Mark 2:18-22	
244	9th Sunday in Ordinary Time	B	Mark 2:23—3:6 or 2:23-28	
245	10th Sunday in Ordinary Time	B	Mark 3:20-35	
246	11th Sunday in Ordinary Time	B	Mark 4:26-34	
247	12th Sunday in Ordinary Time	B	Mark 4:35-41	
248	13th Sunday in Ordinary Time	B	Mark 5:21-43 or 5:21-24, 35-43	
249	14th Sunday in Ordinary Time	B	Mark 6:1-6	
250	15th Sunday in Ordinary Time	B	Mark 6:7-13	
251	16th Sunday in Ordinary Time	B	Mark 6:30-34	
252	22nd Sunday in Ordinary Time	B	Mark 7:1-8, 14-15, 21-23	
253	23rd Sunday in Ordinary Time	B	Mark 7:31-37	
254	24th Sunday in Ordinary Time	B	Mark 8:27-35	
255	2nd Sunday of Lent	B	Mark 9:2-10	
256	Aug 6: Transfiguration of the Lord (Year B)		Mark 9:2-10	
257	25th Sunday in Ordinary Time	B	Mark 9:30-37	
258	26th Sunday in Ordinary Time	B	Mark 9:38-43, 45, 47-48	
