Seq	PropersID	Year	Reference
656	Christmas Weekday: Jan. 2	1+2	John 1:19-28
657	Christmas Weekday: Jan. 3	1+2	John 1:29-34
658	Christmas Weekday: Jan. 4	1+2	John 1:35-42
659	Christmas Weekday: Jan. 5	1+2	John 1:43-51
660	Aug 24: St. Bartholomew, Apostle	1+2	John 1:45-51
661	Sept 29: Sts. Michael, Gabriel, and Raphael, archangels	1+2	John 1:47-51
662	Christmas Weekday: Jan. 7 (if Epiphany is Jan. 8)	1+2	John 2:1-11
663	Nov 9: Feast: Dedication of the Lateran Basilica in Rome	1+2	John 2:13-22
664	Easter, Week 2, Mon	1+2	John 3:1-8
665	Easter, Week 2, Tues	1+2	John 3:7b-15
666	Sept 14: Feast: Exaltation of the Holy Cross	1+2	John 3:13-17
667	Easter, Week 2, Wed	1+2	John 3:16-21
668	Sat after Epiphany, or Jan. 12	1+2	John 3:22-30
669	Easter, Week 2, Thurs	1+2	John 3:31-36
670	Lent, Week 3, opt. Mass	1+2	John 4:5-42
671	Lent, Week 4, Mon	1+2	John 4:43-54
672	Lent, Week 4, Tues	1+2	John 5:1-3a, 5-16
673	Lent, Week 4, Wed	1+2	John 5:17-30
674	Lent, Week 4, Thurs	1+2	John 5:31-47
675	Advent, Week 3, Fri	1+2	John 5:33-36
676	Easter, Week 2, Fri	1+2	John 6:1-15
677	Easter, Week 2, Sat	1+2	John 6:16-21
678	Easter, Week 3, Mon	1+2	John 6:22-29
679	Easter, Week 3, Tues	1+2	John 6:30-35
680	Easter, Week 3, Wed	1+2	John 6:35-40
681	Easter, Week 3, Thurs	1+2	John 6:44-51
682	Easter, Week 3, Fri	1+2	John 6:52-59
683	Easter, Week 3, Sat	1+2	John 6:60-69
684	Lent, Week 4, Fri	1+2	John 7:1-2, 10, 25-30
685	Lent, Week 4, Sat	1+2	John 7:40-53
686	Lent, Week 5, Mon	1+2	John 8:1-11
687	Lent, Week 5, Mon (Year C)	1+2	John 8:12-20
688	Lent, Week 5, Tues	1+2	John 8:21-30
689	Lent, Week 5, Wed	1+2	John 8:31-42
690	Lent, Week 5, Thurs	1+2	John 8:51-59
691	Lent, Week 4, opt. Mass	1+2	John 9:1-41
692	Easter, Week 4, Mon	1+2	John 10:1-10
693	Easter, Week 4, Mon (Year A)	1+2	John 10:11-18
694	Easter, Week 4, Tues	1+2	John 10:22-30
695	Lent, Week 5, Fri	1+2	John 10:31-42
696	Lent, Week 5, opt. Mass	1+2	John 11:1-45
697	July 29: St. Martha (Proper Gospel only; option 1)	1+2	John 11:19-27
698	Lent, Week 5, Sat	1+2	John 11:45-56
699	Holy Week, Mon	1+2	John 12:1-11
700	Aug 10: St. Lawrence, deacon and martyr	1+2	John 12:24-26
701	Easter, Week 4, Wed	1+2	John 12:44-50
702	Easter, Week 4, Thurs	1+2	John 13:16-20
703	Holy Week, Tues	1+2	John 13:21-33, 36-38
704	Easter, Week 4, Fri	1+2	John 14:1-6
705	May 3: Sts. Philip and James, Apostles	1+2	John 14:6-14
706	Easter, Week 4, Sat	1+2	John 14:7-14
707	Easter, Week 5, Mon	1+2	John 14:21-26
708	Easter, Week 5, Tues	1+2	John 14:27-31a
709	Easter, Week 5, Wed	1+2	John 15:1-8
710	Easter, Week 5, Thurs	1+2	John 15:9-11
711	May 14: St. Matthias, Apostle	1+2	John 15:9-17
712	Easter, Week 5, Fri	1+2	John 15:12-17
713	Easter, Week 5, Sat	1+2	John 15:18-21
714	Easter, Week 6, Mon	1+2	John 15:26—16:4a
715	Easter, Week 6, Tues	1+2	John 16:5-11
716	Easter, Week 6, Wed	1+2	John 16:12-15
717	Easter, Week 6, Thurs	1+2	John 16:16-20
718	Easter, Week 6, Fri	1+2	John 16:20-23
719	Easter, Week 6, Sat	1+2	John 16:23b-28
720	Easter, Week 7, Mon	1+2	John 16:29-33
721	Easter, Week 7, Tues	1+2	John 17:1-11a
722	Easter, Week 7, Wed	1+2	John 17:11b-19
723	Easter, Week 7, Thurs	1+2	John 17:20-26
724	Sept 15: Our Lady of Sorrows (Proper Gospel only; option 1)	1+2	John 19:25-27
725	Mon after Pentecost: BVMary, Mother of the Church	1+2	John 19:25-34
726	Dec 27: St. John, Apostle and Evangelist	1+2	John 20:1a+2-8
727	July 22: St. Mary Magdalene (Proper Gospel only)	1+2	John 20:1-2, 11-18
728	Easter Octave, Tues	1+2	John 20:11-18
729	July 3: St. Thomas, Apostle	1+2	John 20:24-29
730	Easter Octave, Fri	1+2	John 21:1-14
731	Easter, Week 7, Fri	1+2	John 21:15-19
732	June 29: Solemnity: Sts. Peter and Paul, Vigil	1+2	John 21:15-19
733	Easter, Week 7, Sat morn.	1+2	John 21:20-25
734	Mon after Pentecost: BVMary, Mother of the Church (option 2)	1+2	Acts 1:12-14
735	May 14: St. Matthias, Apostle	1+2	Acts 1:15-17, 20-26
736	Easter Octave, Mon	1+2	Acts 2:14, 22-33
737	Easter Octave, Tues	1+2	Acts 2:36-41
738	Easter Octave, Wed	1+2	Acts 3:1-10
739	June 29: Solemnity: Sts. Peter and Paul, Vigil (1st reading)	1+2	Acts 3:1-10
740	Easter Octave, Thurs	1+2	Acts 3:11-26
741	Easter Octave, Fri	1+2	Acts 4:1-12
742	Easter Octave, Sat	1+2	Acts 4:13-21
743	Easter, Week 2, Mon	1+2	Acts 4:23-31
744	Easter, Week 2, Tues	1+2	Acts 4:32-37
745	Easter, Week 2, Wed	1+2	Acts 5:17-26
746	Easter, Week 2, Thurs	1+2	Acts 5:27-33
747	Easter, Week 2, Fri	1+2	Acts 5:34-42
748	Easter, Week 2, Sat	1+2	Acts 6:1-7
749	Dec 26: St. Stephen, the first martyr	1+2	Acts 6:8-10; 7:54-59
750	Easter, Week 3, Mon	1+2	Acts 6:8-15
751	Easter, Week 3, Tues	1+2	Acts 7:51—8:1a
752	Easter, Week 3, Wed	1+2	Acts 8:1b-8
753	Easter, Week 3, Thurs	1+2	Acts 8:26-40
754	Easter, Week 3, Fri	1+2	Acts 9:1-20
755	Jan 25: Conversion of St. Paul, Apostle (option 2)	1+2	Acts 9:1-22
756	Easter, Week 3, Sat	1+2	Acts 9:31-42
757	Easter, Week 4, Mon	1+2	Acts 11:1-18
758	Easter, Week 4, Tues	1+2	Acts 11:19-26
759	June 11: St. Barnabas, Apostle	1+2	Acts 11:21b-26; 13:1-3
760	June 29: Solemnity: Sts. Peter and Paul, Day (1st reading)	1+2	Acts 12:1-11
761	Easter, Week 4, Wed	1+2	Acts 12:24—13:5a
762	Easter, Week 4, Thurs	1+2	Acts 13:13-25
763	June 24: Solemnity: Nativity of St. John the Baptist, Day	1+2	Acts 13:22-26
764	Easter, Week 4, Fri	1+2	Acts 13:26-33
765	Easter, Week 4, Sat	1+2	Acts 13:44-52
766	Easter, Week 5, Mon	1+2	Acts 14:5-18
767	Easter, Week 5, Tues	1+2	Acts 14:19-28
768	Easter, Week 5, Wed	1+2	Acts 15:1-6
769	Easter, Week 5, Thurs	1+2	Acts 15:7-21
770	Easter, Week 5, Fri	1+2	Acts 15:22-31
771	Easter, Week 5, Sat	1+2	Acts 16:1-10
772	Easter, Week 6, Mon	1+2	Acts 16:11-15
773	Easter, Week 6, Tues	1+2	Acts 16:22-34
774	Easter, Week 6, Wed	1+2	Acts 17:15, 22—18:1
775	Easter, Week 6, Thurs	1+2	Acts 18:1-8
776	Easter, Week 6, Fri	1+2	Acts 18:9-18
777	Easter, Week 6, Sat	1+2	Acts 18:23-28
778	Easter, Week 7, Mon	1+2	Acts 19:1-8
779	Easter, Week 7, Tues	1+2	Acts 20:17-27
780	Easter, Week 7, Wed	1+2	Acts 20:28-38
781	Jan 25: Conversion of St. Paul, Apostle (option 1)	1+2	Acts 22:3-16
782	Easter, Week 7, Thurs	1+2	Acts 22:30; 23:6-11
783	Easter, Week 7, Fri	1+2	Acts 25:13b-21
784	Nov 18: Dedication of the Basilicas of Sts. Peter and Paul	1+2	Acts 28:11-16, 30-31
785	Easter, Week 7, Sat morn.	1+2	Acts 28:16-20, 30-31
786	Ord. Time, Week 28, Mon	1	Rom 1:1-7
787	Ord. Time, Week 28, Tues	1	Rom 1:16-25
788	Ord. Time, Week 28, Wed	1	Rom 2:1-11
789	Ord. Time, Week 28, Thurs	1	Rom 3:21-30
790	Ord. Time, Week 28, Fri	1	Rom 4:1-8
791	Ord. Time, Week 28, Sat	1	Rom 4:13, 16-18
792	March 19: Solemnity: St. Joseph, husband of the BVMary	1+2	Rom 4:13, 16-18, 22
793	Ord. Time, Week 29, Mon	1	Rom 4:20-25
794	Ord. Time, Week 29, Tues	1	Rom 5:12, 15b, 17-19, 20b-21
795	Ord. Time, Week 29, Wed	1	Rom 6:12-18
796	Ord. Time, Week 29, Thurs	1	Rom 6:19-23
797	Ord. Time, Week 29, Fri	1	Rom 7:18-25a
798	Ord. Time, Week 29, Sat	1	Rom 8:1-11
799	Ord. Time, Week 30, Mon	1	Rom 8:12-17
800	Ord. Time, Week 30, Tues	1	Rom 8:18-25
801	Ord. Time, Week 30, Wed	1	Rom 8:26-30
802	Sept 8: Nativity of the BVMary (option 2)	1+2	Rom 8:28-30
803	Ord. Time, Week 30, Thurs	1	Rom 8:31b-39
804	Ord. Time, Week 30, Fri	1	Rom 9:1-5
805	Nov 30: St. Andrew, Apostle	1+2	Rom 10:9-18
806	Ord. Time, Week 30, Sat	1	Rom 11:1-2a, 11-12, 25-29
807	Ord. Time, Week 31, Mon	1	Rom 11:29-36
808	Ord. Time, Week 31, Tues	1	Rom 12:5-16ab
809	May 31: Visitation of the BVMary (option 2)	1+2	Rom 12:9-16
810	Ord. Time, Week 31, Wed	1	Rom 13:8-10
811	Ord. Time, Week 31, Thurs	1	Rom 14:7-12
812	Ord. Time, Week 31, Fri	1	Rom 15:14-21
813	Ord. Time, Week 31, Sat	1	Rom 16:3-9, 16, 22-27
814	Ord. Time, Week 21, Thurs	2	1 Cor 1:1-9
815	Ord. Time, Week 21, Fri	2	1 Cor 1:17-25
816	Ord. Time, Week 21, Sat	2	1 Cor 1:26-31
817	Ord. Time, Week 22, Mon	2	1 Cor 2:1-5
818	Ord. Time, Week 22, Tues	2	1 Cor 2:10b-16
819	Ord. Time, Week 22, Wed	2	1 Cor 3:1-9
820	Nov 9: Feast: Dedication of the Lateran Basilica in Rome	1+2	1 Cor 3:9c-11, 16-17
821	Ord. Time, Week 22, Thurs	2	1 Cor 3:18-23
822	Ord. Time, Week 22, Fri	2	1 Cor 4:1-5
823	Ord. Time, Week 22, Sat	2	1 Cor 4:6b-15
824	Ord. Time, Week 23, Mon	2	1 Cor 5:1-8
825	Ord. Time, Week 23, Tues	2	1 Cor 6:1-11
826	Ord. Time, Week 23, Wed	2	1 Cor 7:25-31
827	Ord. Time, Week 23, Thurs	2	1 Cor 8:1b-7, 11-13
828	Ord. Time, Week 23, Fri	2	1 Cor 9:16-19, 22b-27
829	Ord. Time, Week 23, Sat	2	1 Cor 10:14-22
830	Ord. Time, Week 24, Mon	2	1 Cor 11:17-26, 33
831	Ord. Time, Week 24, Tues	2	1 Cor 12:12-14, 27-31a
832	Ord. Time, Week 24, Wed	2	1 Cor 12:31—13:13
833	May 3: Sts. Philip and James, Apostles	1+2	1 Cor 15:1-8
834	Ord. Time, Week 24, Thurs	2	1 Cor 15:1-11
835	Ord. Time, Week 24, Fri	2	1 Cor 15:12-20
836	Aug 15: Solemnity: Assumption of the BVMary, Day	1+2	1 Cor 15:20-27
837	Ord. Time, Week 24, Sat	2	1 Cor 15:35-37, 42-49
838	Aug 15: Solemnity: Assumption of the BVMary, Vigil	1+2	1 Cor 15:54b-57
839	Ord. Time, Week 10, Mon	1	2 Cor 1:1-7
840	Ord. Time, Week 10, Tues	1	2 Cor 1:18-22
841	Ord. Time, Week 10, Wed	1	2 Cor 3:4-11
842	Ord. Time, Week 10, Thurs	1	2 Cor 3:15—4:1, 3-6
843	Ord. Time, Week 10, Fri	1	2 Cor 4:7-15
844	July 25: St. James, Apostle	1+2	2 Cor 4:7-15
845	Ord. Time, Week 10, Sat	1	2 Cor 5:14-21
846	Ash Wednesday (2nd Reading)	1+2	2 Cor 5:20—6:2
847	Ord. Time, Week 11, Mon	1	2 Cor 6:1-10
848	Ord. Time, Week 11, Tues	1	2 Cor 8:1-9
849	Aug 10: St. Lawrence, Deacon and martyr	1+2	2 Cor 9:6-10
850	Ord. Time, Week 11, Wed	1	2 Cor 9:6-11
851	Ord. Time, Week 11, Thurs	1	2 Cor 11:1-11
852	Ord. Time, Week 11, Fri	1	2 Cor 11:18, 21-30
853	Ord. Time, Week 11, Sat	1	2 Cor 12:1-10
854	Ord. Time, Week 27, Mon	2	Gal 1:6-12
855	June 29: Solemnity: Sts. Peter and Paul, Vigil	1+2	Gal 1:11-20
856	Ord. Time, Week 27, Tues	2	Gal 1:13-24
857	Ord. Time, Week 27, Wed	2	Gal 2:1-2, 7-14
858	Ord. Time, Week 27, Thurs	2	Gal 3:1-5
859	Ord. Time, Week 27, Fri	2	Gal 3:7-14
860	Ord. Time, Week 27, Sat	2	Gal 3:22-29
861	Ord. Time, Week 28, Mon	2	Gal 4:22-24, 26-27, 31—5:1
862	Ord. Time, Week 28, Tues	2	Gal 5:1-6
863	Ord. Time, Week 28, Wed	2	Gal 5:18-25
864	Ord. Time, Week 28, Thurs	2	Eph 1:1-10
865	Dec 8: Solemnity: Immaculate Conception of the BVMary	1+2	Eph 1:3-6, 11-12
866	Ord. Time, Week 28, Fri	2	Eph 1:11-14
867	Ord. Time, Week 28, Sat	2	Eph 1:15-23
868	Ord. Time, Week 29, Mon	2	Eph 2:1-10
869	Ord. Time, Week 29, Tues	2	Eph 2:12-22
870	July 3: St. Thomas, Apostle	1+2	Eph 2:19-22
871	Oct 28: Sts. Simon and Jude, Apostles	1+2	Eph 2:19-22
872	Ord. Time, Week 29, Wed	2	Eph 3:2-12
873	Ord. Time, Week 29, Thurs	2	Eph 3:14-21
874	Ord. Time, Week 29, Fri	2	Eph 4:1-6
875	Sept 21: St. Matthew, Apostle and Evangelist	1+2	Eph 4:1-7, 11-13
876	Ord. Time, Week 29, Sat	2	Eph 4:7-16
877	Ord. Time, Week 30, Mon	2	Eph 4:32—5:8
878	Ord. Time, Week 30, Tues	2	Eph 5:21-33
879	Ord. Time, Week 30, Wed	2	Eph 6:1-9
880	Ord. Time, Week 30, Thurs	2	Eph 6:10-20
881	Ord. Time, Week 30, Fri	2	Phil 1:1-11
882	Ord. Time, Week 30, Sat	2	Phil 1:18b-26
883	Ord. Time, Week 31, Mon	2	Phil 2:1-4
884	Jan 3: Most Holy Name of Jesus	1+2	Phil 2:1-11
885	Ord. Time, Week 31, Tues	2	Phil 2:5-11
886	Sept 14: Feast: Exaltation of the Holy Cross	1+2	Phil 2:6-11
887	Ord. Time, Week 31, Wed	2	Phil 2:12-18
888	Ord. Time, Week 31, Thurs	2	Phil 3:3-8a
889	Ord. Time, Week 31, Fri	2	Phil 3:17—4:1
890	Ord. Time, Week 31, Sat	2	Phil 4:10-19
891	Ord. Time, Week 22, Wed	1	Col 1:1-8
892	Ord. Time, Week 22, Thurs	1	Col 1:9-14
893	Ord. Time, Week 22, Fri	1	Col 1:15-20
894	Ord. Time, Week 22, Sat	1	Col 1:21-23
895	Ord. Time, Week 23, Mon	1	Col 1:24—2:3
896	Ord. Time, Week 23, Tues	1	Col 2:6-15
897	Ord. Time, Week 23, Wed	1	Col 3:1-11
898	Ord. Time, Week 23, Thurs	1	Col 3:12-17
899	Ord. Time, Week 21, Mon	1	1 Thess 1:1-5, 8b-10
900	Ord. Time, Week 21, Tues	1	1 Thess 2:1-8
901	Ord. Time, Week 21, Wed	1	1 Thess 2:9-13
902	Ord. Time, Week 21, Thurs	1	1 Thess 3:7-13
903	Ord. Time, Week 21, Fri	1	1 Thess 4:1-8
904	Ord. Time, Week 21, Sat	1	1 Thess 4:9-11
905	Ord. Time, Week 22, Mon	1	1 Thess 4:13-18
906	Ord. Time, Week 22, Tues	1	1 Thess 5:1-6, 9-11
907	Ord. Time, Week 21, Mon	2	2 Thess 1:1-5, 11-12
908	Ord. Time, Week 21, Tues	2	2 Thess 2:1-3a, 14-17
909	Ord. Time, Week 21, Wed	2	2 Thess 3:6-10, 16-18
910	Ord. Time, Week 23, Fri	1	1 Tim 1:1-2, 12-14
911	Ord. Time, Week 23, Sat	1	1 Tim 1:15-17
912	Ord. Time, Week 24, Mon	1	1 Tim 2:1-8
913	Ord. Time, Week 24, Tues	1	1 Tim 3:1-13
914	Ord. Time, Week 24, Wed	1	1 Tim 3:14-16
915	Ord. Time, Week 24, Thurs	1	1 Tim 4:12-16
916	Ord. Time, Week 24, Fri	1	1 Tim 6:2c-12
917	Ord. Time, Week 24, Sat	1	1 Tim 6:13-16
918	Ord. Time, Week 9, Wed	2	2 Tim 1:1-3, 6-12
919	Jan 26: Sts. Timothy and Titus (Proper 1st Reading; option 1)	1+2	2 Tim 1:1-8
920	Ord. Time, Week 9, Thurs	2	2 Tim 2:8-15
921	Ord. Time, Week 9, Fri	2	2 Tim 3:10-17
922	Ord. Time, Week 9, Sat	2	2 Tim 4:1-8
923	June 29: Solemnity: Sts. Peter and Paul, Day	1+2	2 Tim 4:6-8, 17-18
924	Oct 18: St. Luke, Evangelist	1+2	2 Tim 4:10-17b
925	Jan 26: Sts. Timothy and Titus (Proper 1st Reading ; option 2)	1+2	Titus 1:1-5
926	Ord. Time, Week 32, Mon	2	Titus 1:1-9
927	Ord. Time, Week 32, Tues	2	Titus 2:1-8, 11-14
928	Ord. Time, Week 32, Wed	2	Titus 3:1-7
929	Ord. Time, Week 32, Thurs	2	Phlm 7-20
930	Ord. Time, Week 1, Mon	1	Heb 1:1-6
931	Ord. Time, Week 1, Tues	1	Heb 2:5-12
932	Ord. Time, Week 1, Wed	1	Heb 2:14-18
933	Feb 2: Feast: Presentation of the Lord	1+2	Heb 2:14-18
934	Ord. Time, Week 1, Thurs	1	Heb 3:7-14
935	Ord. Time, Week 1, Fri	1	Heb 4:1-5, 11
936	Ord. Time, Week 1, Sat	1	Heb 4:12-16
937	Ord. Time, Week 2, Mon	1	Heb 5:1-10
938	Ord. Time, Week 2, Tues	1	Heb 6:10-20
939	Ord. Time, Week 2, Wed	1	Heb 7:1-3, 15-17
940	Ord. Time, Week 2, Thurs	1	Heb 7:25—8:6
941	Ord. Time, Week 2, Fri	1	Heb 8:6-13
942	Ord. Time, Week 2, Sat	1	Heb 9:2-3, 11-14
943	Ord. Time, Week 3, Mon	1	Heb 9:15, 24-28
944	Ord. Time, Week 3, Tues	1	Heb 10:1-10
945	March 25: Solemnity: Annunciation of the Lord	1+2	Heb 10:4-10
946	Ord. Time, Week 3, Wed	1	Heb 10:11-18
947	Ord. Time, Week 3, Thurs	1	Heb 10:19-25
948	Ord. Time, Week 3, Fri	1	Heb 10:32-39
949	Ord. Time, Week 3, Sat	1	Heb 11:1-2, 8-19
950	Ord. Time, Week 4, Mon	1	Heb 11:32-40
951	Ord. Time, Week 4, Tues	1	Heb 12:1-4
952	Ord. Time, Week 4, Wed	1	Heb 12:4-7, 11-15
953	Ord. Time, Week 4, Thurs	1	Heb 12:18-19, 21-24
954	Ord. Time, Week 4, Fri	1	Heb 13:1-8
955	Ord. Time, Week 4, Sat	1	Heb 13:15-17, 20-21
956	Ord. Time, Week 6, Sat	1	Heb 11:1-7
957	Ord. Time, Week 6, Mon	2	Jas 1:1-11
958	Ord. Time, Week 6, Tues	2	Jas 1:12-18
959	Ord. Time, Week 6, Wed	2	Jas 1:19-27
960	Ord. Time, Week 6, Thurs	2	Jas 2:1-9
961	Ord. Time, Week 6, Fri	2	Jas 2:14-24, 26
962	Ord. Time, Week 6, Sat	2	Jas 3:1-10
963	Ord. Time, Week 7, Mon	2	Jas 3:13-18
964	Ord. Time, Week 7, Tues	2	Jas 4:1-10
965	Ord. Time, Week 7, Wed	2	Jas 4:13-17
966	Ord. Time, Week 7, Thurs	2	Jas 5:1-6
967	Ord. Time, Week 7, Fri	2	Jas 5:9-12
968	Ord. Time, Week 7, Sat	2	Jas 5:13-20
969	Ord. Time, Week 8, Mon	2	1 Pet 1:3-9
970	June 24: Solemnity: Nativity of St. John the Baptist, Vigil	1+2	1 Pet 1:8-12
971	Ord. Time, Week 8, Tues	2	1 Pet 1:10-16
972	Ord. Time, Week 8, Wed	2	1 Pet 1:18-25
973	Ord. Time, Week 8, Thurs	2	1 Pet 2:2-5, 9-12
974	Ord. Time, Week 8, Fri	2	1 Pet 4:7-13
975	Feb 22: Chair of St. Peter, Apostle	1+2	1 Pet 5:1-4
976	April 25: St. Mark, Evangelist	1+2	1 Pet 5:5b-14
977	Ord. Time, Week 9, Mon	2	2 Pet 1:2-7
978	Aug 6: Feast: Transfiguration of the Lord	1+2	2 Pet 1:16-19
979	Ord. Time, Week 9, Tues	2	2 Pet 3:12-15a, 17-18
980	Dec 27: St. John, Apostle and Evangelist	1+2	1 John 1:1-4
981	Dec 28: Holy Innocents, martyrs	1+2	1 John 1:5—2:2
982	5th Day in Xmas Octave, Dec. 29	1+2	1 John 2:3-11
983	6th Day in Xmas Octave, Dec. 30	1+2	1 John 2:12-17
984	7th Day in Xmas Octave, Dec. 31	1+2	1 John 2:18-21
985	Christmas Weekday: Jan. 2	1+2	1 John 2:22-28
986	Christmas Weekday: Jan. 3	1+2	1 John 2:29—3:6
987	Nov 1: Solemnity: All Saints	1+2	1 John 3:1-3
988	Christmas Weekday: Jan. 4	1+2	1 John 3:7-10
989	Christmas Weekday: Jan. 5	1+2	1 John 3:11-21
