Seq	Date	PropersID	Rank	Note	FirstReadingReference	ResponsorialPsalmReference	SecondReadingReference	GospelAlleluiaReference	GospelReadingReference
1	01/01	Mary, Mother of God	Solemnity	[see the Proper of Seasons, no. 18]					
2	01/02	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 4:1-7,11-13	Ps 23:1b-3a,4,5,6		Matt 23:9b,10b	Matt 23:8-12
3	01/03	3 Jan:Most Holy Name of Jesus		Proper (cf. Votive Mass of the Holy Name)	Phil 2:1-11	Ps 8:4-5,6-7,8-9		Matt 1:21	Luke 2:21-24
4	01/04	St Elizabeth Ann Seton, Religious		Common of Holy Men and Women: For Religious					
5	01/05	St John Neumann, Bishop		Common of Pastors					
6	01/06	St André Bessette, Religious		Common of Holy Men and Women: For Religious					
7	01/07	St Raymond of Peñafort, Priest		Common of Pastors	2 Cor 5:14-20	Ps 103:1bc-2,3-4,8-9,13-14,17-18a		Luke 21:36	Luke 12:35-40
8	01/13	St Hilary, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	1 John 2:18-25	Ps 110:1,2,3,4		Matt 5:16	Matt 5:13-19
9	01/17	St Anthony, Abbot	Memorial	Common of Holy Men and Women: For Religious	Eph 6:10-13,18	Ps 16:1-2a+5,7-8,11		John 8:31b-32	Matt 19:16-26
10	01/20	St Fabian, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	1 Peter 5:1-4	Ps 40:2+4ab,7-8a,8b-9,10		John 10:14	John 21:15-17
11	01/20	St Sebastian, Martyr		Common of Martyrs	1 Peter 3:14-17	Ps 34:2-3,4-5,6-7,8-9		James 1:12	Matt 10:28-33
12	01/21	St Agnes, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	1 Cor 1:26-31	Ps 23:1b-3a,4,5,6		John 15:9b,5b	Matt 13:44-46
13	01/22	St Vincent, Deacon, Martyr		Common of Martyrs	2 Cor 4:7-15	Ps 34:2-3,4-5,6-7,8-9		Matt 5:10	Matt 10:17-22
14	01/23	St Marianne Cope, Virgin		Common of Virgins, or Common of Holy Men and Women: For Those Who Work for the Underprivileged					
15	01/24	St Francis de Sales, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 3:8-12	Ps 37:3-4,5-6,30-31		John 13:34	John 15:9-17
16	01/25	Conversion of St Paul, Apostle	Feast	Proper	Acts 22:3-16|Acts 9:1-22	Ps 117:1bc,2		John 15:16	Mark 16:15-18
17	01/26	Ss Timothy & Titus, Bishops	Memorial	Common of Pastors, except Proper 1st Reading:	2 Tim 1:1-8|Titus 1:1-5	Ps 96:1-2a,2b-3,7-8a,10		Luke 4:18	Luke 10:1-9
18	01/27	St Angela Merici, Virgin		Common of Virgins, or Common of Holy Men and Women: For Teachers	1 Peter 4:7b-11	Ps 148:1bc-2,11-13a,13c-14		Matt 11:25	Mark 9:34b-37
19	01/28	St Thomas Aquinas, Priest, Doctor	Memorial	Common of Doctors of the Church, or Common of Pastors	Wisdom 7:7-10,15-16	Ps 119:9,10,11,12,13,14		Matt 23:9b,10b	Matt 23:8-12
20	01/31	St John Bosco, Priest	Memorial	Common of Pastors, or Common of Holy Men and Women: For Teachers	Phil 4:4-9	Ps 103:1bc-2,3-4,8-9,13-14,17-18		Matt 23:11,12b	Matt 18:1-5
21	02/02	Presentation of our Lord	Feast	Proper	Mal 3:1-4	Ps 24:7,8,9,10	Heb 2:14-18	Luke 2:32	Luke 2:22-40|2:22-32
22	02/03	St Blaise, Bishop, Martyr		Common of Martyrs, or Common of Pastors	Rom 5:1-5	Ps 117:1bc,2		Matt 28:19a,20b	Mark 16:15-20
23	02/03	St Ansgar, Bishop		Common of Pastors: For Missionaries	Isa 52:7-10	Ps 96:1-2a,2b-3,7-8,10		Mark 1:17	Mark 1:14-20
24	02/05	St Agatha, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	1 Cor 1:26-31	Ps 31:3cd-4,6+8ab,16bc+17		1 Peter 4:14	Luke 9:23-26
25	02/06	St Paul Miki, Priest & Martyr, & Companions, Martyrs	Memorial	Common of Martyrs	Gal 2:19-20	Ps 126:1bc-2ab,2cd-3,4-5,6		Matt 28:19a,20b	Matt 28:16-20
26	02/08	St Jerome Emiliani, Priest		Common of Holy Men and Women: For Teachers	Tob 12:6-13	Ps 34:2-3,4-5,6-7,8-9,10-11		Matt 5:3	Mark 10:17-30|10:17-27
27	02/08	St Josephine Bakhita, Virgin		Common of Virgins	1 Cor 7:25-35	Ps 45:11-12,14-15,16-17			Matt 25:1-13
28	02/10	St Scholastica, Virgin	Memorial	Common of Virgins, or Common of Holy Men and Women: For Religious	Songs 8:6-7	Ps 148:1bc-2,11-13a,13c-14		John 14:23	Luke 10:38-42
29	02/11	Our Lady of Lourdes		Common of the Blessed Virgin Mary	Isa 66:10-14c	Judith 13:18bcde,19		cf. Luke 1:45	John 2:1-11
30	02/14	Ss Cyril, Monk, & Methodius, Bishop	Memorial	Common of Pastors: For Missionaries, or Common of Holy Men and Women	Acts 13:46-49	Ps 117:1bc,2		Luke 4:18	Luke 10:1-9
31	02/17	The Seven Founders of the Order of Servites		Common of Holy Men and Women: For Religious	Rom 8:26-30	Ps 34:2-3,4-5,6-7,8-9,10-11		Matt 5:3	Matt 19:27-29
32	02/21	St Peter Damian, Bishop, Doctor		Common of Doctors of the Church, or Common of Pastors, or Common of Holy Men and Women: For Religious	2 Tim 4:1-5	Ps 16:1-2+5,7-8,11		John 15:9b,5b	John 15:1-8
33	02/22	Chair of St Peter, Apostle	Feast	Proper	1 Pet 5:1-4	Ps 23:1-3a,4,5,6		Matt 16:18	Matt 16:13-19
34	02/23	St Polycarp, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	Rev 2:8-11	Ps 31:3cd-4,6+8ab,16bc+17			John 15:18-21
35	02/27	St Gregory of Narek, Abbot, Doctor		Common of Doctors of the Church, or Common of Holy Men and Women: For Religious	Wis 7:7-10,15,16	Ps 37:3-4,5-6,30-31		John 6:63c+68c	Matt 7:21-29
36	03/03	St Katharine Drexel, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious					
37	03/04	St Casimir		Common of Holy Men and Women	Phil 3:8-14	Ps 15:2-3ab,3cd-4ab,5		John 13:34	John 15:9-17
38	03/07	Ss Perpetua & Felicity, Martyrs	Memorial	Common of Martyrs	Rom 8:31b-39	Ps 124:2-3,4-5,7-8		Matt 5:10	Matt 10:34-39
39	03/08	St John of God, Religious		Common of Holy Men and Women: For Religious, or For Those Who Work for the Underprivileged	1 John 3:14-18	Ps 112:1bc-2,3-4,5-7a,7b-8,9		John 13:34	Matt 25:31-40
40	03/09	St Frances of Rome, Religious		Common of Holy Men and Women	Prov 31:10-13,19-20,30-31	Ps 34:2-3,4-5,6-7,8-9,10-11		John 13:34	Matt 22:34-40
41	03/17	St Patrick, Bishop		Common of Pastors: For Missionaries	1 Peter 4:7b-11	Ps 96:1-2a,2b-3,7-8b,10		Mark 1:17	Luke 5:1-11
42	03/18	St Cyril of Jerusalem, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	1 John 5:1-5	Ps 19:8,9,10,11		John 15:9b,5b	John 15:1-8
43	03/19	St Joseph, Husband of our Lady	Solemnity	Proper	2 Sam 7:4-5a,12-14a,16	Ps 89:2-3,4-5,27+29	Rom 4:13,16-18,22	Ps 84:5	Matt 1:16,18-21,24a|Luke 2:41-51a
44	03/23	St Turibius of Mongrovejo, Bishop		Common of Pastors	2 Tim 1:13-14;2:1-3	Ps 96:1-2a,2b-3,7-8c,10		John 10:14	Matt 9:35-38
45	03/25	Annunciation of our Lord	Solemnity	Proper	Isa 7:10-14;8:10	Ps 40:7-8a,8b-9,10,11	Heb 10:4-10	John 1:14ab	Luke 1:26-38
46	04/02	St Francis of Paola, hermit		Common of Holy Men and Women: For Religious	Phil 3:8-14	Ps 16:1-2a+5,7-8,11		Matt 5:3	Luke 12:32-34
47	04/04	St Isidore, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	2 Cor 4:1-2,5-7	Ps 37:3-4,5-6,30-31		John 15:5	Luke 6:43-45
48	04/05	St Vincent Ferrer, Priest		Common of Pastors: For Missionaries	2 Tim 4:1-5	Ps 40:2,4,7-8,8-9,10,11		Luke 21:36	Luke 12:35-40
49	04/07	St John Baptist de la Salle, Priest	Memorial	Common of Pastors, or Common of Holy Men and Women: For Teachers	2 Tim 1:13-14;2:1-3	Ps 1:1-2,3,4+6		Matt 23:11,12b	Matt 18:1-5
50	04/11	St Stanislaus, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	Rev 12:10-12a	Ps 34:2-3,4-5,6-7,8-9		2 Cor 1:3b-4	John 17:11b-19
51	04/13	St Martin I, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	2 Tim 2:8-13;3:10-12	Ps 126:1bc-2,2-3,4-5,6			John 15:18-21
52	04/21	St Anselm, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	Eph 3:14-19	Ps 34:2-3,4-5,6-7,8-9,10-11		John 6:63+68c	Matt 7:21-29
53	04/23	St George, Martyr		Common of Martyrs	Rev 21:5-7	Ps 126:1bc-2,2-3,4-5,6		1 Peter 4:14	Luke 9:23-26
54	04/23	St Adalbert, Bishop, Martyr		Common of Martyrs, or Common of Pastors	2 Cor 6:4-10	Ps 31:3cd-4,6+8ab,16bc+17		John 17:19	John 10:11-16
55	04/24	St Fidelis of Sigmaringen, Priest, Martyr		Common of Martyrs, or Common of Pastors	Col 1:24-29	Ps 34:2-3,4-5,6-7,8-9		John 13:34	John 17:20-26
56	04/25	St Mark, Evangelist	Feast	Proper	1 Pet 5:5b-14	Ps 89:2-3,6-7,16-17		1 Cor 1:23a+24b	Mark 16:15-20
57	04/28	St Peter Chanel, Priest, Martyr		Common of Martyrs, or Common of Pastors: For Missionaries	1 Cor 1:18-25	Ps 117:1bc,2		Mark 1:17	Mark 1:14-20
58	04/28	St Louis Grignion de Montfort, Priest		Common of Pastors: For Missionaries	1 Cor 1:18-25	Ps 40:2+4,7-8a,8b-9,10		Luke 4:18	Matt 28:16-20
59	04/29	St Catherine of Siena, Virgin, Doctor	Memorial	Common of Virgins	1 John 1:5—2:2	Ps 103:1-2,3-4,8-9,13-14,17-18		cf. Matt 11:25	Matt 11:25-30
60	04/30	St Pius V, Pope, Religious		Common of Pastors: For a Pope	1 John 4:1-5	Ps 110:1,2,3,4		John 10:14	John 21:15-17
61	05/01	St Joseph the Worker		Proper Gospel	Gen 1:26—2:3|Col 3:14-15,17,23-24	Ps 90:2,3-4,12-13,14+16		Ps 68:20	Matt 13:54-58
62	05/02	St Athanasius, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	1 John 5:1-5	Ps 37:3-4,5-6,30-31		Matt 5:10	Matt 10:22-25
63	05/03	Ss Philip & James, Apostles	Feast	Proper	1 Cor 15:1-8	Ps 19:2-3,4-5		John 14:6b+9c	John 14:6-14
64	05/10	St Damien de Veuster, Priest		Common of Pastors, or Common of Holy Men and Women					
65	05/10	St John of Avila, Priest, Doctor		Common of Pastors, or Common of Doctors of the Church	Acts 13:46-49	Ps 23:1b-3,4,5,6		Matt 5:16	Matt 5:13-19
66	05/12	Ss Nereus & Achilleus, Martyrs		Common of Martyrs	Rev 7:9-17	Ps 124:2-3,4-5,7-8		Matt 5:10	Matt 10:17-22
67	05/12	St Pancras, Martyr		Common of Martyrs	Rev 19:1,5-9a	Ps 103:1-2,3-4,8-9,13-14,17-18		cf. Matt 11:25	Matt 11:25-30
68	05/13	Our Lady of Fatima		Common of the Blessed Virgin Mary	Isa 61:9-11	Ps 45:11-12,14-15,16-17			Luke 11:27-28
69	05/14	St Matthias, Apostle	Feast	Proper	Acts 1:15-17,20-26	Ps 113:1-2,3-4,5-6,7-8		cf. John 15:16	John 15:9-17
70	05/15	St Isidore		Common of Holy Men and Women					
71	05/18	St John I, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	Rev 3:14b,20-22	Ps 23:1-3a,4,5,6		John 15:15	Luke 22:24-30
72	05/20	St Bernardine of Siena, Priest		Common of Pastors: For Missionaries	Acts 4:8-12	Ps 40:2,4,7-8,8-9,10,11		John 8:12	Luke 9:57-62
73	05/21	St Christopher Magallanes, Priest, & Companions, Martyrs		Common of Martyrs	Rev 7:9-17	Ps 34:2-3,4-5,6-7,8-9		Matt 5:10	John 12:24-26
74	05/22	St Rita of Cascia, Religious		Common of Holy Men and Women	Phil 4:4-9	Ps 1:1-2,3,4+6		Matt 11:28	Luke 6:27-38
75	05/25	St Bede the Venerable, Priest, Doctor		Common of Pastors, or Common of Doctors of the Church	1 Cor 2:10b-16	Ps 119:9,10,11,12,13,14		John 6:63,68c	Matt 7:21-29
76	05/25	St Gregory VII, Pope, Religious		Common of Pastors: For a Pope	Acts 20:17-18a. 28-32,36	Ps 110:1,2,3,4		Mark 1:17	Matt 16:13-19
77	05/25	St Mary Magdalene de' Pazzi, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious	1 Cor 7:25-35	Ps 148:1-2,11-13,13-14		John 8:31b-32	Mark 3:31-35
78	05/26	St Philip Neri, Priest	Memorial	Common of Pastors, or Common of Holy Men and Women: For Religious	Phil 4:4-9	Ps 34:2-3,4-5,6-7,8-9,10-11		John 15:9b,5b	John 17:20-26
79	05/27	St Augustine of Canterbury, Bishop		Common of Pastors: For Missionaries	1 Thess 2:2b-8	Ps 96:1-2a,2b-3,7-8a,10		John 10:14	Matt 9:35-38
80	05/29	St Paul VI, Pope		Common of Pastors: For a Pope	1 Cor 9:16-19,22-23	Ps 96:1-2a,2b-3,7-8a,10		Mark 1:17	Matt 16:13-19
81	05/31	Visitation of our Lady	Feast	Proper	Zeph 3:14-18a|Rom 12:9-16	Isa 12:2-3,4bcd,5-6		cf. Luke 1:45	Luke 1:39-56
82	06/01	St Justin, Martyr	Memorial	Common of Martyrs	1 Cor 1:18-25	Ps 34:2-3,4-5,6-7,8-9		Matt 5:16	Matt 5:13-19
83	06/02	Ss Marcellinus & Peter, Martyrs		Common of Martyrs	2 Cor 6:4-10	Ps 124:2-3,4-5,7b-8		2 Cor 1:3b-4a	John 17:11b-19
84	06/03	St Charles Lwanga & Companions, Martyrs	Memorial	Common of Martyrs	2 Mac 7:1-2,9-14	Ps 124:2-3,4-5,7b-8		Matt 5:3	Matt 5:1-12a
85	06/05	St Boniface, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors: For Missionaries	Acts 26:19-23	Ps 117:1bc,2		John 10:14	John 10:11-16
86	06/06	St Norbert, Bishop		Common of Pastors, or Common of Holy Men and Women: For Religious	Ezek 34:11-16	Ps 23:1-3a,4,5,6		Matt 5:3	Luke 14:25-33
87	06/09	St Ephrem, Deacon, Doctor		Common of Doctors of the Church	Col 3:12-17	Ps 37:3-4,5-6,30-31		John 15:5	Luke 6:43-45
88	06/11	St Barnabas, Apostle	Memorial	Proper First Reading	Acts 11:21b-26;13:1-3	Ps 98:1,2-3ab,3cd-4,5-6		Matt 28:19a+20b	Matt 10:7-13
89	06/13	St Anthony of Padua, Priest, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church, or Common of Holy Men and Women: For Religious	Isa 61:1-3d	Ps 89:2-3,4-5,21-22,25+27		Luke 4:18	Luke 10:1-9
90	06/19	St Romuald, Abbot		Common of Holy Men and Women: For Religious	Phil 3:8-14	Ps 131:1bcde,2,3		Matt 5:3	Luke 14:25-33
91	06/21	St Aloysius Gonzaga, Religious	Memorial	Common of Holy Men and Women: For Religious	1 John 5:1-5	Ps 16:1-2a+5,7-8,11		John 13:34	Matt 22:34-40
92	06/22	St Paulinus of Nola, Bishop		Common of Pastors	2 Cor 8:9-15	Ps 40:2+4ab,7-8a,8b-9,10		Matt 5:10	Luke 12:32-34
93	06/22	St John Fisher, Bishop & Martyr, & St Thomas More, Martyr		Common of Martyrs	1 Peter 4:12-19	Ps 126:1bc-2ab,2cd-3,4-5,6		Matt 5:10	Matt 10:34-39
94	06/24	Nativity of St John the Baptist:Vigil	Solemnity	Proper	Jer 1:4-10	Ps 71:1-2,3-4a,5-6ab,15ab+17	1 Pet 1:8-12	cf. John 1:7;Luke 1:17	Luke 1:5-17
95	06/24	Nativity of St John the Baptist	Solemnity	Proper	Isa 49:1-6	Ps 139:1b-3,13-14ab,14c-15	Acts 13:22-26	cf. Luke 1:76	Luke 1:57-66,80
96	06/27	St Cyril of Alexandria, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	2 Tim 4:1-5	Ps 89:2-3,4-5,21-22,25+27		Matt 5:16	Matt 5:13-19
97	06/28	St Irenaeus, Bishop, Martyr, Doctor	Memorial	Common of Martyrs, or Common of Doctors of the Church	2 Tim 2:22b-26	Ps 37:3-4,5-6,30-31		John 15:9b,5b	John 17:20-26
98	06/29	Ss Peter & Paul, Apostles:Vigil	Solemnity	Proper	Acts 3:1-10	Ps 19:2-3,4-5	Gal 1:11-20	John 21:17	John 21:15-19
99	06/29	Ss Peter & Paul, Apostles	Solemnity	Proper	Acts 12:1-11	Ps 34:2-3,4-5,6-7,8-9	2 Tim 4:6-8,17-18	Matt 16:18	Matt 16:13-19
100	06/30	First Martyrs of Holy Roman Church		Common of Martyrs	Rom 8:31b-39	Ps 124:2-3,4-5,7b-8		Matt 5:10	Matt 24:4-13
101	07/01	St Junipero Serra, Priest		Common of Pastors: For Missionaries, or Common of Holy Men and Women: For Religious					
102	07/03	St Thomas, Apostle	Feast	Proper	Eph 2:19-22	Ps 117:1bc,2		John 20:29	John 20:24-29
103	07/04	St Elizabeth of Portugal		Common of Holy Men and Women: For Those Who Work for the Underprivileged	1 John 3:14-18	Ps 112:1-2,3-4,5-6,7-8,9		John 13:34	Matt 25:31-46|25:31-40
104	07/05	St Anthony Mary Zaccaria, Priest		Common of Pastors, or Common of Holy Men and Women: For Teachers or For Religious	2 Tim 1:13-14;2:1-3	Ps 1:1-2,3,4+6		cf. Matt 11:25	Mark 10:13-16
105	07/05	Our Lady of Refuge: Patroness of the Californias	Proper (California)	Common of the Blessed Virgin Mary	Est C:12,14-15,25-30|Eph 2:4-10				John 2:1-11|Luke 1:39-55
106	07/06	St Maria Goretti, Virgin, Martyr		Common of Martyrs, or Common of Virgins	1 Cor 6:13c-15a,17-20	Ps 31:3cd-4,6+8ab,16bc+17		James 1:12	John 12:24-26
107	07/09	Ss Augustine Zhao Rong, Priest, & Companions, Chinese Martyrs		Common of Martyrs	1 John 5:1-5	Ps 126:1-2ab,2cd-3,4-5,6 #715.4)		2 Cor 1:3b-4a	Jn 12:24-26
108	07/11	St Benedict, Abbot	Memorial	Common of Holy Men and Women: For Religious	Prov 2:1-9	Ps 34:2-3,4-5,6-7,8-9,10-11		Matt 5:3	Matt 19:27-29
109	07/13	St Henry		Common of Holy Men and Women	Mic 6:6-8	Ps 1:1-2,3,4+6		John 14:23	Matt 7:21-27
110	07/14	St Kateri Tekakwitha, Virgin		Common of Virgins					
111	07/15	St Bonaventure, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 3:14-19	Ps 119:9,10,11,12,13,14		Matt 23:9b,10b	Matt 23:8-12
112	07/16	Our Lady of Mount Carmel		Common of the Blessed Virgin Mary	Zac 2:14-17	Luke 1:46-47,48-49,50-51,52-53,54-55		Luke 11:28	Matt 12:46-50
113	07/18	St Camillus de Lellis, Priest		Common of Holy Men and Women: For Those Who Work for the Underprivileged	1 John 3:14-18	Ps 112:1-2,3-4,5-7a,7b-8,9		John 13:34	John 15:9-17
114	07/20	St Apollinaris, Bishop, Martyr		Common of Martyrs, or Common of Pastors	Ezek 34:11-16	Ps 23:1-3a,4,5,6		John 10:14	John 10:11-16
115	07/21	St Lawrence of Brindisi, Priest, Doctor		Common of Pastors, or Common of Doctors of the Church	2 Cor 4:1-2,5-7	Ps 40:2+4ab,7-8a,8b-9,10			Mark 4:1-10,13-20
116	07/22	St Mary Magdalene	Feast	Proper Gospel	Cant 3:1-4b|2 Cor 5:14-17	Ps 63:2,3-4,5-6,8-9			John 20:1-2,11-18
117	07/23	St Bridget of Sweden, Religious		Common of Holy Men and Women: For Religious	Gal 2:19-20	Ps 34:2-3,4-5,6-7,8-9,10-11		John 15:9b,5b	John 15:1-8
118	07/24	St Sharbel Makhluf, Priest		Common of Pastors, or Common of Holy Men and Women	Sir 3:17-24	Ps 15:2-3ab,3cd-4ab,5		Matt 5:3	Matt 19:27-29
119	07/25	St James, Apostle	Feast	Proper	2 Cor 4:7-15	Ps 126:1bc-2ab,2cd-3,4-5,6		John 15:16	Matt 20:20-28
120	07/26	Ss Joachim & Anne, Parents of our Lady	Memorial	Specially chosen readings, but not Proper, i.e. not mandatory	Sir 44:1,10-15	Ps 132:11,13-14,17-18		cf. Luke 2:25c	Matt 13:16-17
121	07/29	Ss Martha, Mary & Lazarus	Memorial	Common of Holy Men and Women, except Proper Gospel:	1 John 4:7-16	Ps 34:2-3,4-5,6-7,8-9,10-11		John 8:12	John 11:19-27|Luke 10:38-42
122	07/30	St Peter Chrysologus, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	Eph 3:8-12	Ps 119:9,10,11,12,13,14		John 15:5	Luke 6:43-45
