PropersID	PropersID_Alt	BlankColumn
ADVENT I	Dominica I Adventus	
ADVENT II	Dominica II Adventus	
ADVENT III	Dominica III Adventus (Gaudéte)	
ADVENT IV	Dominica IV Adventus (Roráte)	
ALL SAINTS	Omnium Sanctorum	
ASCENSION OF THE LORD	In Ascensione Domini	
ASSUMPTION OF OUR LADY	In Assumptione Beatæ Mariæ Virginis	
Dedication of the Archbasilica of St John Lateran	Dedicatio Archibasilicae Sancti Ioannis Lateranensis	
EASTER II	Dominica II Post Pascha	
EASTER III	Dominica III Post Pascha	
EASTER IV	Dominica IV Post Pascha	
EASTER V	Dominica V Post Pascha	
EPIPHANY II	Dominica II post Epiphaniam	
EPIPHANY III	Dominica III Post Epiphaniam	
EPIPHANY IV	Dominica IV Post Epiphaniam	
EPIPHANY OF THE LORD	In Epiphania Domini	
EPIPHANY V	Dominica V Post Epiphaniam	
EPIPHANY VI	Dominica VI Post Epiphaniam	
Exaltation of the Holy Cross	Exaltatio Sanctae Crucis	
HOLY FAMILY	Sanctæ Familiæ Jesu Mariæ Joseph	
KINGSHIP OF OUR LORD JESUS CHRIST	Domini Nostri Jesu Christi Regis	
LENT I	Dominica I in Quadragesima	
LENT II	Dominica II in Quadragesima	
LENT III	Dominica III in Quadragesima	
LENT IV	Dominica IV in Quadragesima	
LOW SUNDAY	Dominica in Albis in Octava Paschæ	
MOST HOLY NAME OF JESUS	Sanctissimi Nominis Jesu	
NATIVITY OF THE LORD	In Nativitate Domini	
NATIVITY OF THE LORD:MIDNIGHT	In Nativitate Domini	
PALM SUNDAY	Dominica II Passionis seu in Palmis	
PASSION SUNDAY	Dominica I Passionis	
PENTECOST II	Dominica II Post Pentecosten	
PENTECOST III	Dominica III Post Pentecosten	
PENTECOST IV	Dominica IV Post Pentecosten	
PENTECOST IX	Dominica IX Post Pentecosten	
PENTECOST SUNDAY	Dominica Pentecostes	
PENTECOST V	Dominica V Post Pentecosten	
PENTECOST VI	Dominica VI Post Pentecosten	
PENTECOST VII	Dominica VII Post Pentecosten	
PENTECOST VIII	Dominica VIII Post Pentecosten	
PENTECOST X	Dominica X Post Pentecosten	
PENTECOST XI	Dominica XI Post Pentecosten	
PENTECOST XII	Dominica XII Post Pentecosten	
PENTECOST XIII	Dominica XIII Post Pentecosten	
PENTECOST XIV	Dominica XIV Post Pentecosten	
PENTECOST XIX	Dominica XIX Post Pentecosten	
PENTECOST XV	Dominica XV Post Pentecosten	
PENTECOST XVI	Dominica XVI Post Pentecosten	
PENTECOST XVII	Dominica XVII Post Pentecosten	
PENTECOST XVIII	Dominica XVIII Post Pentecosten	
PENTECOST XX	Dominica XX Post Pentecosten	
PENTECOST XXI	Dominica XXI Post Pentecosten	
PENTECOST XXII	Dominica XXII Post Pentecosten	
PENTECOST XXIII	Dominica XXIII Post Pentecosten	
PENTECOST XXIV	Dominica XXIV Post Pentecosten	
PENTECOST XXV	Dominica XXV Post Pentecosten	
PENTECOST XXVI	Dominica XXVI Post Pentecosten	
PENTECOST XXVII	Dominica XXVII Post Pentecosten	
QUINQUAGESIMA SUNDAY	Dominica in Quinquagesima	
RESURRECTION OF THE LORD	Dominica Resurrectionis	
SEPTUAGESIMA SUNDAY	Dominica in Septuagesima	
SEXAGESIMA SUNDAY	Dominica in Sexagesima	
SS PETER & PAUL, APOSTLES	Ss Petrus et Paulus	
SUNDAY AFTER THE ASCENSION	Dominica post Ascensionem	
SUNDAY IN THE OCTAVE OF THE NATIVITY	Dominica Infra Octavam Nativitatis	
SUNDAY LAST AFTER PENTECOST	Dominica Ultima Post Pentecosten	
TRINITY SUNDAY	Dominica Sanctissimæ Trinitatis	